,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
278,23.6,27.1,20.3,76,9.91,6.6,8.7,14.8,37.625
279,23,26.6,21,80,0,5.8,9.6,14.8,41.458333333333336
280,23.3,28.4,20,77,1.27,6.3,6.7,11.1,36.0
281,23.9,28.9,21,74,0,6.3,11.1,14.8,70.58333333333333
282,23.2,28,21.4,81,8.89,6.6,7.4,14.8,52.458333333333336
283,24.1,29.4,20.4,78,0,6.9,6.3,7.6,38.25
284,23.4,28.4,21,79,4.06,6.6,5.7,9.4,26.583333333333332
285,22.9,28.4,20.5,85,1.78,5.5,7.6,11.1,41.375
286,23.1,27.4,20.4,81,4.57,5.5,7.8,11.1,25.541666666666668
287,23.2,28.2,21,81,0,5.5,7.4,14.8,28.375
288,23.6,27.8,20.8,73,0,8.2,7.2,11.1,50.333333333333336
289,22.8,28.4,20.7,83,0,6.3,6.9,11.1,35.375
290,23.6,29.2,20.2,79,0,6.9,6.9,9.4,31.916666666666668
291,22.8,28,20.4,84,0,6.9,5.2,9.4,35.291666666666664
292,23.1,29.3,20,81,0,5.8,5,7.6,26.833333333333332
293,24.1,29.5,20,74,7.11,9.2,4.4,5.4,21.125
294,24.1,28.8,20.2,83,11.18,6.9,2.2,7.6,35.708333333333336
295,24.7,30.8,20.7,80,6.86,6.9,0.9,3.5,43.583333333333336
296,25.4,30.8,20.4,78,32,6.9,0.9,3.5,46.041666666666664
297,23.7,29.6,20.5,79,0,6.9,6.7,9.4,82.875
298,23.2,28,20.2,75,1.02,6.9,8,9.4,64.91666666666667
299,21.8,28,20.1,85,0.51,5.5,7.2,9.4,30.666666666666668
300,22.7,27.4,20.4,80,1.52,6.9,7.2,9.4,33.166666666666664
301,22.5,27.2,20,84,0.25,6.9,5.6,9.4,30.625
302,23.1,26.8,19.7,79,0.51,7.7,6.7,9.4,30.333333333333332
303,23.3,28.7,20.3,77,0,6.9,6.3,9.4,0.0
304,23.2,28.9,19.8,71,0,6.3,9.1,11.1,0.0
305,24,29.9,19.1,69,0,6.9,7.8,11.1,0.0
306,24.3,30.3,20.5,67,0,8.5,5.2,7.6,76.875
307,23.4,27.8,20.6,79,0,6.9,5.9,9.4,69.70833333333333
308,23.7,27.8,20.1,74,1.78,7.4,5.9,7.6,62.375
309,24.2,28.3,20,72,0,6.6,2.8,5.4,24.875
310,23.9,31.1,20.1,78,10.67,6.9,1.3,3.5,43.958333333333336
311,24.2,31.1,19.9,81,132.33,6.9,1.9,5.4,41.5
312,24.8,30,20,72,6.1,9.2,3.5,5.4,38.791666666666664
313,24.7,29.9,20.7,69,3.81,7.7,2.2,3.5,30.333333333333332
314,25.4,30.7,19.8,64,0,6.9,2.2,3.5,26.666666666666668
315,25.3,30.7,20.8,76,0,7.4,0.6,3.5,29.0
316,23.6,30.4,19.6,79,31.5,6.9,2.8,5.4,61.708333333333336
317,22.6,30.4,19.1,84,51.82,6.9,1.9,3.5,60.541666666666664
318,23.6,29.9,19.3,83,62.99,6.8,1.9,3.5,41.583333333333336
319,24.4,30,20.8,67,0,9.2,5,9.4,80.04166666666667
320,25.4,30.3,21.2,66,0,8.2,2.6,5.4,82.83333333333333
321,24,30.3,21.1,75,0,9.2,3.9,7.6,95.25
322,21.6,24.3,19.8,86,3.05,5.5,3.1,3.5,126.16666666666667
323,22,25.4,20.2,82,0.51,6.3,3.1,5.4,136.70833333333334
324,22.7,26.8,20.4,76,0,9.2,3.3,5.4,160.66666666666666
325,22,27.5,20.4,89,0,5.5,3.1,3.5,245.66666666666666
326,22.4,27.5,19.8,87,55.37,6.3,3.1,3.5,261.6666666666667
327,21.9,27.3,19.8,90,5.84,6.3,3,5.4,272.4166666666667
328,22,28.4,17.5,70,0,6.3,1.3,3.5,149.625
329,23.2,28.2,20,72,0,6.9,2.2,3.5,99.70833333333333
330,21.4,27.6,18.4,71,0,6.3,0.9,3.5,309.375
331,23.2,29.4,17.9,58,0,6.3,2,5.4,321.5416666666667
332,23,29.5,18.8,59,0,6.3,0.4,3.5,278.0
333,23.2,29.5,18.8,63,0,6.3,0.9,3.5,192.33333333333334
334,20.2,27.4,19.6,94,3.81,4,3.5,3.5,224.16666666666666
335,21.4,24.6,20.2,91,0,5.5,3.7,7.6,196.75
336,21.9,27.4,18,80,5.84,6.3,2.8,5.4,221.54166666666666
337,22.1,28.1,17.4,71,0,6.6,2.8,3.5,166.70833333333334
338,21.8,28,18.3,70,0,9.2,2.8,3.5,130.70833333333334
339,22.2,28.8,17.1,68,0,6.3,0.4,3.5,194.70833333333334
340,21.2,26.7,18,68,0,6.9,2.4,5.4,134.45833333333334
341,21.4,27.4,15.8,64,0,6.3,1.1,5.4,110.0
342,21.7,29.2,16.5,60,0,8.2,1.9,3.5,160.0
343,22.3,28.2,16.6,50,0,6.6,1.9,5.4,118.91666666666667
